Accession_Number	F. prausnitzii BIOML-A1	F. prausnitzii AF32-8AC	F. prausnitzii AM39-7BH	F. prausnitzii CNCM I 4541	F. prausnitzii AM37-13AC	F. prausnitzii BIOML-B4	F. prausnitzii 2789STDY5834930	F. prausnitzii P9094	F. prausnitzii APC942/18-1	F. prausnitzii BIOML-B2	F. prausnitzii APC922/41-1	F. prausnitzii APC924/119	F. prausnitzii BIOML-B9	F. prausnitzii CNCM I 4575	F. prausnitzii BIOML-B13	F. prausnitzii AF36-11AT	F. prausnitzii BIOML-B18	F. prausnitzii  CNCM I 4544	F. prausnitzii Indica	F. prausnitzii 2789STDY5608869	F. prausnitzii ATCC 27768	F. prausnitzii ATCC 27766	F. prausnitzii MGYG-HGUT-02274	F. prausnitzii BIOML-B12	F. prausnitzii BIOML-B15	F. prausnitzii CNCM I 4573	F. prausnitzii AF29-11BH	F. prausnitzii P9224	F. prausnitzii A2165	F. prausnitzii BIOML-B10	F. prausnitzii FPSSTS7063_SV_a2_mod	F. prausnitzii AM33-14AC	F. prausnitzii JCM 31915	F. prausnitzii CNCM I 4546	F. prausnitzii APC923/61-1	F. prausnitzii L2/6	F. prausnitzii MGYG-HGUT-02272	F. prausnitzii BIOML-B1	F. prausnitzii BIOML-B14	F. prausnitzii  A2-165	F. prausnitzii APC942/8-14-2	F. prausnitzii P9391	F. prausnitzii BIOML-B8	F. prausnitzii MGYG-HGUT-01300	F. prausnitzii BIOML-B3	F. prausnitzii AHMP21	F. prausnitzii P9123	F. prausnitzii P9241	F. prausnitzii CNCM I 4540	F. prausnitzii BIOML-B6	F. prausnitzii P9311	F. prausnitzii P9225	F. prausnitzii P9239	F. prausnitzii BIOML-B11	F. prausnitzii M21/2	F. prausnitzii CNCM I 4543	F. prausnitzii KLE1255	F. prausnitzii AM36-18BH	F. prausnitzii BIOML-B16	F. prausnitzii AHMP21.	F. prausnitzii P9122	F. prausnitzii AF31-14AC	F. prausnitzii AM42-11AC	F. prausnitzii APC918/95b	F. prausnitzii SSTS_Bg7063	F. prausnitzii JG_BgPS064	F. prausnitzii MGYG-HGUT-00039	F. prausnitzii P9313	F. prausnitzii BIOML-B7	F. prausnitzii 942/30-2	F. prausnitzii aa_0143	F. prausnitzii AF10-13	F. prausnitzii P9240	F. prausnitzii APC923/51-1	F. prausnitzii CNCM I 4542	F. prausnitzii P9238	F. prausnitzii MGYG-HGUT-00195	F. prausnitzii 2789STDY5834970	F. prausnitzii APC942/32-1	F. prausnitzii SL3/3	F. prausnitzii BIOML-B17	F. prausnitzii CNCM I 4574	F. prausnitzii MGYG-HGUT-00022	F. prausnitzii MGYG-HGUT-02545
WP_025580377.1	6	8	2	4	4	8	0	4	3	9	7	9	11	6	11	5	9	4	4	4	9	10	2	11	7	12	9	4	10	11	8	2	10	10	3	6	4	5	11	10	5	5	13	8	9	2	4	3	6	11	4	4	2	9	8	6	7	3	8	7	11	7	8	4	4	8	4	2	12	3	9	6	2	7	8	4	9	5	6	4	9	6	10	3
WP_064785871.1	1	6	3	4	4	7	0	2	2	7	3	6	7	6	7	3	7	2	4	2	5	5	2	7	7	8	10	5	6	8	5	2	6	7	1	3	2	5	7	5	4	2	9	5	7	4	1	4	3	8	4	4	2	7	5	6	4	4	5	3	9	6	1	2	2	3	2	4	9	2	7	7	4	4	5	2	4	4	4	4	7	5	6	2
WP_071144312.1	2	6	2	3	2	5	0	4	2	5	4	6	7	5	7	3	5	1	3	2	3	3	2	7	3	8	10	1	7	7	4	3	7	9	1	6	3	5	8	7	2	3	8	6	5	3	2	5	5	8	3	4	2	8	6	6	4	3	3	5	7	7	5	3	3	4	2	4	8	2	5	6	4	5	3	4	8	4	5	2	4	6	7	2
WP_118689201.1	2	4	4	4	5	3	1	3	5	3	1	2	5	2	5	3	3	4	3	2	4	4	3	5	3	3	3	2	4	5	0	2	4	3	4	2	5	5	5	4	3	4	5	5	3	3	2	3	3	5	4	2	5	5	5	2	4	3	2	3	3	4	4	3	2	3	2	3	5	5	3	6	3	3	4	3	5	6	3	5	3	3	4	5
WP_156067918.1	2	4	5	1	5	5	0	2	4	5	4	4	5	3	5	5	5	3	2	3	4	4	2	5	3	4	3	1	1	5	2	3	1	6	3	4	6	7	5	1	1	3	5	3	5	3	3	3	2	4	3	4	2	5	3	2	2	3	4	3	6	6	7	4	4	2	3	3	5	4	5	4	3	5	1	2	5	4	2	1	5	2	1	4
WP_156067927.1	4	5	7	2	3	4	0	4	3	5	2	3	4	2	4	5	5	3	2	6	3	2	0	4	5	4	3	2	3	4	2	3	3	2	0	2	2	1	4	3	2	4	4	5	5	3	3	1	3	4	6	2	0	4	5	2	2	3	4	2	3	6	3	4	0	0	6	1	4	3	5	7	1	5	2	4	6	2	4	4	4	3	3	3
WP_004452856.1	3	3	2	3	3	5	0	1	2	5	3	4	4	4	4	4	5	2	3	2	5	5	2	4	5	5	7	4	2	4	4	3	2	8	0	3	3	5	4	2	1	4	4	2	5	2	2	2	3	4	2	3	1	4	2	3	4	4	4	2	6	4	1	1	2	3	2	2	4	2	5	4	2	4	3	1	3	3	3	3	5	3	2	2
WP_005341175.1	2	5	4	1	1	5	0	3	1	5	4	3	2	4	3	4	5	3	3	4	3	2	3	3	3	4	6	1	2	3	0	1	2	3	3	3	3	7	3	2	4	2	3	5	6	3	3	1	2	3	4	1	3	3	5	1	5	4	3	3	3	6	4	4	1	3	4	1	3	2	6	1	1	4	4	3	4	3	3	3	6	2	2	2
WP_005935744.1	2	4	4	2	3	1	0	5	6	1	3	4	4	3	4	3	1	3	4	2	2	2	3	4	1	2	3	3	4	4	0	3	4	6	3	2	3	2	4	2	1	0	4	5	1	2	3	2	1	3	3	2	5	4	5	2	6	2	1	2	2	3	5	4	2	2	2	2	4	6	1	4	2	4	3	5	3	5	2	1	1	2	4	6
WP_035394948.1	2	4	1	1	3	3	1	1	2	4	2	4	5	5	5	2	4	1	1	1	5	5	1	5	2	6	6	4	2	5	4	1	2	6	1	5	1	4	5	2	1	1	6	2	3	4	1	1	2	5	2	1	1	5	2	3	3	4	3	2	3	4	1	0	1	1	1	1	6	1	2	3	1	5	3	1	4	2	3	4	3	3	2	1
