Accession_Number	F. prausnitzii BIOML-A1	F. prausnitzii AF32-8AC	F. prausnitzii AM39-7BH	F. prausnitzii CNCM I 4541	F. prausnitzii AM37-13AC	F. prausnitzii BIOML-B4	F. prausnitzii 2789STDY5834930	F. prausnitzii P9094	F. prausnitzii APC942/18-1	F. prausnitzii BIOML-B2	F. prausnitzii APC922/41-1	F. prausnitzii APC924/119	F. prausnitzii BIOML-B9	F. prausnitzii CNCM I 4575	F. prausnitzii BIOML-B13	F. prausnitzii AF36-11AT	F. prausnitzii BIOML-B18	F. prausnitzii  CNCM I 4544	F. prausnitzii Indica	F. prausnitzii 2789STDY5608869	F. prausnitzii ATCC 27768	F. prausnitzii ATCC 27766	F. prausnitzii MGYG-HGUT-02274	F. prausnitzii BIOML-B12	F. prausnitzii BIOML-B15	F. prausnitzii CNCM I 4573	F. prausnitzii AF29-11BH	F. prausnitzii P9224	F. prausnitzii A2165	F. prausnitzii BIOML-B10	F. prausnitzii FPSSTS7063_SV_a2_mod	F. prausnitzii AM33-14AC	F. prausnitzii JCM 31915	F. prausnitzii CNCM I 4546	F. prausnitzii APC923/61-1	F. prausnitzii L2/6	F. prausnitzii MGYG-HGUT-02272	F. prausnitzii BIOML-B1	F. prausnitzii BIOML-B14	F. prausnitzii  A2-165	F. prausnitzii APC942/8-14-2	F. prausnitzii P9391	F. prausnitzii BIOML-B8	F. prausnitzii MGYG-HGUT-01300	F. prausnitzii BIOML-B3	F. prausnitzii AHMP21	F. prausnitzii P9123	F. prausnitzii P9241	F. prausnitzii CNCM I 4540	F. prausnitzii BIOML-B6	F. prausnitzii P9311	F. prausnitzii P9225	F. prausnitzii P9239	F. prausnitzii BIOML-B11	F. prausnitzii M21/2	F. prausnitzii CNCM I 4543	F. prausnitzii KLE1255	F. prausnitzii AM36-18BH	F. prausnitzii BIOML-B16	F. prausnitzii AHMP21.	F. prausnitzii P9122	F. prausnitzii AF31-14AC	F. prausnitzii AM42-11AC	F. prausnitzii APC918/95b	F. prausnitzii SSTS_Bg7063	F. prausnitzii JG_BgPS064	F. prausnitzii MGYG-HGUT-00039	F. prausnitzii P9313	F. prausnitzii BIOML-B7	F. prausnitzii 942/30-2	F. prausnitzii aa_0143	F. prausnitzii AF10-13	F. prausnitzii P9240	F. prausnitzii APC923/51-1	F. prausnitzii CNCM I 4542	F. prausnitzii P9238	F. prausnitzii MGYG-HGUT-00195	F. prausnitzii 2789STDY5834970	F. prausnitzii APC942/32-1	F. prausnitzii SL3/3	F. prausnitzii BIOML-B17	F. prausnitzii CNCM I 4574	F. prausnitzii MGYG-HGUT-00022	F. prausnitzii MGYG-HGUT-02545
WP_156065870.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
WP_156065932.1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
WP_156066204.1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
WP_197036521.1	1	2	1	1	3	3	1	1	1	3	1	3	2	1	2	1	3	1	2	1	3	3	2	2	2	4	3	1	1	2	1	1	1	6	2	2	2	3	2	1	1	2	2	3	3	2	1	1	1	2	1	1	1	2	3	1	2	2	1	1	3	3	1	2	1	2	1	1	2	1	3	3	1	1	1	1	2	1	1	3	3	1	1	1
WP_197036556.1	2	2	2	1	2	2	1	2	2	2	1	2	2	1	2	1	2	2	1	1	2	2	2	2	3	2	2	1	2	2	3	1	2	2	1	2	1	2	2	2	1	1	2	2	2	1	2	2	1	2	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2
WP_117477456.1	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	1	2	2	2	1	2	2	2	1	1	2	2	1	2	2	2	1	2	1	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	1	1	2	2	2
WP_117477494.1	1	1	1	1	2	2	2	1	1	2	1	3	2	2	2	2	2	2	1	1	2	2	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	2	2	1	1	1	2	2	2	1	2	1	1	2	2	2	1	2	2	1	2	2	2	1	2	2	1	2	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1
WP_117535380.1	3	3	1	2	1	1	2	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	2	2	1	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	2	3	2	3	1	1	1	2	1	1	2	1
WP_117536096.1	1	1	1	1	2	2	1	1	1	2	1	2	2	1	2	1	2	1	1	1	2	2	1	2	2	2	2	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1
WP_006858253.1	1	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	1	3	2	1	1	2	1	1	2
